,No.,Project,Status,Lead CPHC,Builder,Location,Const. type,Bldg. function,Floor area,Project type,Unnamed: 10,date,year,month,state,city
370,1477,3003 CreekView Drive - CreekView Apartments at Woodland Park,Certified,James Moriarty,DiMarco Constructors LLC,"Canandaigua, NY",Timber,Multifamily,5904,New Construction,,"['September', '13,', '2019']",2019,September,NY,Canandaigua
371,1478,3004 Creekview Drive - CreekView Apartments at Woodland Park,Certified,James Moriarty,DiMarco Constructors LLC,"Canandaigua, NY",Timber,Multifamily,9274,New Construction,,"['September', '13,', '2019']",2019,September,NY,Canandaigua
372,1479,3005 CreekView Drive - CreekView Apartments at Woodland Park,Certified,James Moriarty,DiMarco Constructors LLC,"Canandaigua, NY",Timber,Multifamily,5904,New Construction,,"['September', '13,', '2019']",2019,September,NY,Canandaigua
373,1480,CreekView Apartments at Woodland Park Phase 1 - Building 12,Certified,James Moriarty,DiMarco Constructors LLC,"Canandaigua, NY",Timber,Multifamily,6990,New Construction,,"['September', '13,', '2019']",2019,September,NY,Canandaigua
374,1481,South Jersey Passive House,Certified,Ilka Cassidy,Hugh Lofting Timber Framing and High Performance Building,"Southampton, NJ",Timber,Single Family,2262,New Construction,,"['July', '1,', '2019']",2019,July,NJ,Southampton
375,1482,Schickler Lane Ph,Certified,Dan Welch,Bellingham Bay Builders,"Bellingham, WA",Timber,Single Family,2532,New Construction,,"['November', '1,', '2019']",2019,November,WA,Bellingham
376,1483,Schickler Lane ADU,Certified,Dan Welch,Bellingham Bay Builders,"Belingham, WA",Timber,Single Family,1034,New Construction,,"['November', '1,', '2019']",2019,November,WA,Belingham
377,1489,Rockquist Passive House Minor,Certified,Juhee Lee-Hartford  Adriana Rombaldi,Heitmann Builders,"Garrison, NY",Timber,Single Family,3680,New Construction,,"['April', '5,', '2019']",2019,April,NY,Garrison
378,1490,Prairie Athletic & Recreation Center,Certified,Lisa White,Wight & Co,"Plainfield, IL",,Commercial,35204,New Construction,,"['July', '25,', '2019']",2019,July,IL,Plainfield
379,1506,Provo Passive House,Certified,Thomas Candee,Hinckley Eaves Construction,"Provo, UT",Timber,Single Family,6240,New Construction,,"['May', '26,', '2020']",2020,May,UT,Provo
380,1507,Beach Green Dunes Phase 2,Certified,Thomas Moore,BGN II Owner LLC,"Far Rockaway, NY",Masonry,Multifamily,103133,New Construction,,"['May', '29,', '2020']",2020,May,NY,Far Rockaway
381,1515,295 Painter Hill,Certified,Owen O'Connor,Threshold Builders,"Wurtsburo, NY",Timber,Single Family,1428,New Construction,,"['June', '21,', '2019']",2019,June,NY,Wurtsburo
382,1525,Palladino Cottage,Certified,Jeb Rosenberger  Josh Edmonds,Simple Integrity LLC,"Cooperstown, NY",Timber,Single Family,560,New Construction,,"['January', '9,', '2020']",2020,January,NY,Cooperstown
383,1528,Wheaton College Dormitory,Certified,Colin Schless  Elsa Mullin,,"Norton, MA",,Multifamily,38186,New Construction,,"['March', '6,', '2020']",2020,March,MA,Norton
384,1529,Habitat 20K Passive House,Certified,David Bitter,"Auburn University 20K Initiative/ Real Life builders, LLC (GC of Record)","Opelika, AL",Timber,Single Family,819,New Construction,,"['August', '27,', '2019']",2019,August,AL,Opelika
385,1539,St Joseph's School Addition,Certified,Tom Bassett-Dilley,,"Downers Grove, IL",,School,7016,Addition,,"['March', '12,', '2020']",2020,March,IL,Downers Grove
386,1541,Crackatuxet Residence,Certified,Daniel Roy,Adam T Incorporated,"Edgartown, MA",Timber,Single Family,1632,New Construction,,"['February', '11,', '2020']",2020,February,MA,Edgartown
387,1568,Edmonds Residence,Certified,Jeb Rosenberger  Josh Edmonds,Simple Integrity LLC,"Cooperstown, NY",Timber,Single Family,2643,New Construction,,"['January', '30,', '2020']",2020,January,NY,Cooperstown
388,1570,THOMPSON PASSIVE HOUSE,Certified,Margaret Kirk,AARON THOMPSON,"MOAB, UT",Timber,Single Family,2279,New Construction,,"['November', '7,', '2019']",2019,November,UT,MOAB
389,1578,Polk Passive House,Certified,Scott Yribar,Jess Chapman,"New Meadows , ID",Timber,Single Family,2677,New Construction,,"['May', '1,', '2019']",2019,May,ID,New Meadows
390,1586,176 North Winooski Ave,Certified,Chris West,New Frameworks,"Burlington, VT",Timber,Single Family,1380,New Construction,,"['April', '13,', '2020']",2020,April,VT,Burlington
391,1587,Meadows House,Certified,Chris Price,T&T Mountain Builders,"Park City, UT",Timber,Single Family,4490,New Construction,,"['March', '6,', '2020']",2020,March,UT,Park City
392,1608,Tracy Street,Certified,Chris West,,"Lebanon, , NH",,Multifamily,26246,New Construction,,"['April', '23,', '2020']",2020,April,NH,Lebanon
