,No.,Project,Status,Lead CPHC,Builder,Location,Const. type,Bldg. function,Floor area,Project type,Unnamed: 10,date,year,month,state,city
235,1156,Karpiak Mulhall Passive House,Certified,Richard Pedranti,"Ciervo and Sons Renovations, Inc","Scranton, PA",Timber,Single Family,1773,New Construction,,"['December', '4,', '2015']",2015,December,PA,Scranton
236,1157,Hill Residence Passive House,Certified,Katy Hollbacher,Carmel Building & Design,"Carmel-by-the-Sea, CA",Timber,Single Family,1433,New Construction,,"['September', '9,', '2013']",2013,September,CA,Carmel-by-the-Sea
237,1160,17 Carol Street,Certified,Chris Trolle,Michael Trolle,"Danbury, CT",Timber,Single Family,1359,Retrofit,,"['February', '17,', '2014']",2014,February,CT,Danbury
238,1161,Island Passive House,Certified,Tessa Smith,The Artisans Group,"Shaw Island, San Juan Islands, WA",Timber,Single Family,1533,New Construction,,"['October', '15,', '2013']",2013,October,WA,Shaw Island
239,1162,Wesley Chapel,Certified,,Cation Construction Co.,"Chatham, IL",Timber,Single Family,1531,New Construction,,"['April', '7,', '2016']",2016,April,IL,Chatham
240,1286,Coman Residence,Certified,Tom Bassett-Dilley,"Brandon Weiss, Evolutionary Home Builders","Hinsdale, IL",Timber,Single Family,2348,New Construction,,"['January', '2,', '2020']",2020,January,IL,Hinsdale
241,1170,Sol Lux Alpha,Certified,Graham Irwin,"Sarter Construciton & Design, Inc; DBA Off The Grid Design","San Francisco, CA",Timber,Multifamily,6664,New Construction,,"['April', '6,', '2018']",2018,April,CA,San Francisco
242,1172,Sunshine Health Facilities Resident Building,Certified,Sam Rodell,"Jon Hawley, Tamarack Ridge Construction","Spokane Valley, WA",Timber,Commercial,17852,New Construction,,"['July', '22,', '2015']",2015,July,WA,Spokane Valley
243,1173,Rickey Residence,Certified,Sam Rodell,Pura Vida Homes,"Elk, WA",Timber,Single Family,1720,New Construction,,"['June', '12,', '2014']",2014,June,WA,Elk
244,1174,Stellar Passive House Apartment Building,Certified,Win Swafford  Jan Fillinger,"Meili Construction Company, Inc.","Eugene, OR",Timber,Multifamily,5034,New Construction,,"['January', '27,', '2014']",2014,January,OR,Eugene
245,1175,Bradburn Passive House,Certified,Kathy Aulwes,Daniel McNaughton,"Portland, OR",Timber,Single Family,2621,New Construction,,"['January', '30,', '2014']",2014,January,OR,Portland
246,1177,Specht Residence,Certified,Adam Cohen,"Structures Design/Build, LLC","Thaxton, VA",Timber,Single Family,1406,New Construction,,"['June', '14,', '2012']",2012,June,VA,Thaxton
247,1185,Habitat for Humanity SSBC - Canon Perdido Condos,Certified,Eduardo Devicente,Habitat for Humanity SSBC - Allen Associates,"Santa Barbara, CA",Timber,Multifamily,3543,New Construction,,"['March', '26,', '2015']",2015,March,CA,Santa Barbara
248,1186,4564 19th Street Passive House Retrofit,Certified,Graham Irwin,ENU Construction,"San Francisco, CA",Timber,Single Family,3361,Retrofit,,"['January', '14,', '2014']",2014,January,CA,San Francisco
249,1188,Uptown Lofts,Certified,Morgan Law,Mosites,"Pittsburgh, PA",Timber,Multifamily,19672,New Construction,,"['June', '9,', '2015']",2015,June,PA,Pittsburgh
250,1190,Warnick Retreat,Certified,Sam Rodell  Maren Longhurst,"Glenn Carter, Advanced Building Consultants","Issaquah, WA",Mixed timber-masonry,Single Family,2215,New Construction,,"['May', '4,', '2018']",2018,May,WA,Issaquah
251,1260,323 Rachel Carson Trail,Certified,,Michael Carpenter,"Ithaca, NY",Timber,Single Family,948,New Construction,,"['May', '14,', '2015']",2015,May,NY,Ithaca
252,1211,Squirrel Hill Duplex,Certified,Erik Fritzberg,"Builders & Remodelers (partial execution), Exterior Cladding Leaf Redevelopment (partial execution)","Pittsburgh, PA",Timber,Multifamily,4119,New Construction,,"['October', '16,', '2017']",2017,October,PA,Pittsburgh
253,1199,Von Eckartsberg,Certified,Morgan Law,Metro Green LLC,"Arlington, VA",Timber,Single Family,4074,New Construction,,"['January', '22,', '2016']",2016,January,VA,Arlington
254,1200,North Street Passive House,Certified,James Hartford,Nugent CM,"Cold Spring, NY",Mixed timber-masonry,Single Family,1845,Retrofit,,"['October', '19,', '2016']",2016,October,NY,Cold Spring
255,1201,ecoMOD South - South Boston,Certified,Barbara Gehrung,"Cardinal Homes, Wylliesburg, VA","South Boston, VA",Timber,Single Family,1361,New Construction,,"['December', '2,', '2013']",2013,December,VA,South Boston
256,1203,The Orchards at Orenco,Certified,Dylan Lamar,Walsh Construction,"Hillsboro, OR",Mixed timber-masonry,Multifamily,42584,New Construction,,"['June', '12,', '2015']",2015,June,OR,Hillsboro
257,1204,Weinberg Commons,Certified,Michael Hindle,Entellis Collaborative,"Washington , DC",Mixed timber-masonry,Multifamily,9380,Retrofit,,"['January', '5,', '2017']",2017,January,DC,Washington
258,1206,R Residence,Certified,,"Daigo Kensetsu Co., Inc.","Yokohama City, Japan",Timber,Single Family,1631,New Construction,,"['July', '7,', '2016']",2016,July,Japan,Yokohama City
259,1210,Domus Matris,Certified,Tom Bassett-Dilley  Bruce Zahn,Edge Grain LLC,"Milwaukee, WI",Timber,Single Family,1964,New Construction,,"['November', '14,', '2014']",2014,November,WI,Milwaukee
260,1213,Seventh Day Adventist Church,Certified,,,"Kinderhook, NY",,Mixed-Use,6538,New Construction,,"['June', '6,', '2017']",2017,June,NY,Kinderhook
261,1215,337 Rachel Carson Trail,Certified,Lois B. Arena,Michael Carpenter,"Ithaca, NY",Timber,Single Family,1270,New Construction,,"['June', '17,', '2014']",2014,June,NY,Ithaca
262,1216,340 Rachel Carson Trail,Certified,Lois B. Arena,Michael Carpenter,"Ithaca, NY",Timber,Single Family,1267,New Construction,,"['June', '17,', '2014']",2014,June,NY,Ithaca
263,1217,341 Rachel Carson Trail,Certified,Lois B. Arena,Michael Carpenter,"Ithaca, NY",Timber,Single Family,1270,New Construction,,"['June', '17,', '2014']",2014,June,NY,Ithaca
264,1218,344 Rachel Carson Trail,Certified,Lois B. Arena,Michael Carpenter,"Ithaca, NY",Timber,Single Family,1267,New Construction,,"['June', '17,', '2014']",2014,June,NY,Ithaca
265,1219,Turner House,Certified,Natalie Leonard,,"Hubley, NS",,Single Family,2083,New Construction,,"['September', '22,', '2015']",2015,September,NS,Hubley
266,1220,Greener and MacLean Farmhouse,Certified,Natalie Leonard,,"Clifton, NS",Timber,Single Family,1675,New Construction,,"['October', '29,', '2015']",2015,October,NS,Clifton
267,1222,McQuillan Residence,Certified,Lucas Morton,Alliance Green Builders,"Ramona, CA",,Single Family,2577,New Construction,,"['December', '19,', '2016']",2016,December,CA,Ramona
268,1225,Owl Haven Passive,Certified,Robert Moore,Richard Epstein,"Langley, WA",Timber,Single Family,1496,New Construction,,"['October', '2,', '2015']",2015,October,WA,Langley
269,1228,Rideau Residences,Certified,Ross Elliott,VERT plan.design.build,"Ottawa, ON",Mixed timber-masonry,Multifamily,3536,New Construction,,"['May', '8,', '2014']",2014,May,ON,Ottawa
270,1232,Bedford Passive House,Certified,James Hartford,Nugent CM,"Bedford, NY",Timber,Single Family,3432,Retrofit,,"['January', '19,', '2019']",2019,January,NY,Bedford
271,1233,"Taft Faculty Housing, 59 North St",Certified,Chris Trolle,BPC Green Builders,"Watertown, CT",Mixed timber-masonry,Single Family,3131,New Construction,,"['July', '8,', '2015']",2015,July,CT,Watertown
272,1236,Madrona Passive House,Certified,Dan Whitmore,Hammer and Hand,"Seattle, WA",Timber,Single Family,3778,New Construction,,"['September', '13,', '2016']",2016,September,WA,Seattle
273,1239,Smith Residence,Certified,David Brach,T&T Mountain Builders inc,"Park City, UT",Timber,Single Family,2265,New Construction,,"['July', '8,', '2015']",2015,July,UT,Park City
274,1240,S1230 Studio Addition,Certified,Greg Simon,Studio 1230,"Va. Beach, VA",Timber,Single Family,436,Addition,,"['March', '2,', '2017']",2017,March,VA,Va. Beach
275,1241,Blue-Ridge Passive House Residence,Certified,Markus Barrera-Kolb,Dyna Contracting,"Seattle, WA",Timber,Single Family,2891,New Construction,,"['October', '6,', '2017']",2017,October,WA,Seattle
276,1242,5424 Addison Road,Certified,Izumi Kitajima,"O'Neill Development, Inc.","Fairmount Heights, MD",Timber,Single Family,1243,New Construction,,"['September', '13,', '2016']",2016,September,MD,Fairmount Heights
277,1243,Emery Sreet Project,Certified,David Brach  Thomas Candee,Salt Lake City Housing and Neighborhood Development,"Salt Lake City, UT",Timber,Single Family,1793,New Construction,,"['December', '16,', '2016']",2016,December,UT,Salt Lake City
278,1245,Columbia County Habitat Passive Townhouses,Certified,,Columbia County Habitat for Humanity,"Hudson, NY",Timber,Multifamily,2680,New Construction,,"['February', '22,', '2016']",2016,February,NY,Hudson
279,1247,Project 580,Certified,Ryan Abendroth,Cedar Street Builders,"Zionsville, IN",Timber,Single Family,2600,New Construction,,"['August', '26,', '2015']",2015,August,IN,Zionsville
280,1248,Loughran Home,Certified,Ryan Abendroth,"Timothy Loughran, DDS","Goreville, IL",Timber,Single Family,1528,New Construction,,"['July', '23,', '2018']",2018,July,IL,Goreville
281,1249,Viridescent House,Certified,Edward Pais,R&G Bilodeau Carpentry and Electrical,"Falmouth, ME",Timber,Single Family,1470,New Construction,,"['March', '15,', '2016']",2016,March,ME,Falmouth
282,1250,Woodstock Passive House,Certified,Daniel Levy  Gal Gabriel,,"Woodstock, NY",Autoclaved aerated concrete (AAC),Single Family,2373,New Construction,,"['August', '16,', '2016']",2016,August,NY,Woodstock
283,1251,Windy View Passive House,Certified,Blake Bilyeu,"Bilyeu Homes, Inc","Philomath, OR",Timber,Single Family,1660,New Construction,,"['October', '30,', '2015']",2015,October,OR,Philomath
284,1252,Phoenix PH-01,Certified,Scott Kosmecki,Hinge Build Group,"Portland, OR",Timber,Single Family,1568,Addition,,"['June', '6,', '2017']",2017,June,OR,Portland
285,1253,Anton House,Certified,Joe Haskett,Swanson Construction,"Warren, RI",Timber,Single Family,2715,New Construction,,"['April', '22,', '2016']",2016,April,RI,Warren
286,1255,Solterre Cottage,Certified,Natalie Leonard,,"Lunenburg, NS",,Single Family,1455,,,"['April', '22,', '2015']",2015,April,NS,Lunenburg
287,1257,Distillery North,Certified,Mark Anstey  Adam Cohen,Commodore Builders,"South Boston, MA",Timber,Multifamily,27840,New Construction,,"['February', '22,', '2019']",2019,February,MA,South Boston
288,1259,Mountain Lake Park Passive House,Certified,Michael Hindle,Gosnell Builders,"Mountain Lake Park, MD",Timber,Single Family,3175,New Construction,,"['June', '11,', '2018']",2018,June,MD,Mountain Lake Park
289,1261,322 Rachel Carson Trail,Certified,Lois B. Arena,,"Ithaca, NY",,Single Family,987,,,"['May', '14,', '2015']",2015,May,NY,Ithaca
290,1262,Mechanic Street Passive House,Certified,Daniel Roy,Stephen C. DeMetrick Fine Woodworking,"Wakefield , RI",Timber,Single Family,1404,New Construction,,"['August', '11,', '2015']",2015,August,RI,Wakefield
291,1265,View Haus 5,Certified,Joseph Giampietro,Cascade Built,"Seattle, WA",Timber,Single Family,1062,New Construction,,"['August', '5,', '2015']",2015,August,WA,Seattle
292,1267,Palatine Passive House,Certified,Dan Whitmore,Blue & Yellow Builders,"Seattle, WA",Timber,Single Family,2493,New Construction,,"['April', '8,', '2016']",2016,April,WA,Seattle
293,1275,Windsor Passivhaus,Certified,Indigo Ruth-Davis,Montpelier Construction,"Windsor County, VT",Timber,Single Family,1819,New Construction,,"['July', '7,', '2017']",2017,July,VT,Windsor County
294,1276,Anchor Bay House,Certified,Graham Irwin,,"Gualala, CA",Timber,Single Family,996,New Construction,,"['February', '19,', '2016']",2016,February,CA,Gualala
295,1279,Village Center Apartments,Certified,Colin Schless,Wright-Ryan Construction (WRC),"Brewer, ME",Timber,Multifamily,51778,New Construction,,"['September', '15,', '2016']",2016,September,ME,Brewer
296,1282,Flora Vista,Certified,Dan Whitmore,Bicycle Homebuilding,"Olympia, WA",Timber,Single Family,2398,New Construction,,"['December', '2,', '2019']",2019,December,WA,Olympia
297,1288,Wayland Passive house,Certified,Michael Hindle,Auburndale Builders,"Wayland, MA",Mixed timber-masonry,Single Family,5635,New Construction,,"['May', '4,', '2018']",2018,May,MA,Wayland
298,1289,Madison Supportive Housing - Rethke Terrace,Certified,James Lewis,McGann COnstruction,"Madison, WI",Timber,Multifamily,27838,New Construction,,"['May', '14,', '2016']",2016,May,WI,Madison
299,1290,Wallingford Passive House Residence,Certified,Markus Barrera-Kolb,Hammer & Hand,"Seattle, WA",Timber,Single Family,3458,New Construction,,"['August', '21,', '2017']",2017,August,WA,Seattle
300,1291,Rutherford Residence,Certified,Sam Rodell  Maren Longhurst,"Andy Smith and Mike Ridlehoover, Edwards Smith Construction LLC","Coeur d'Alene, ID",Mixed timber-masonry,Single Family,3505,New Construction,,"['June', '6,', '2018']",2018,June,ID,Coeur d'Alene
301,1292,Ashtree Passive House,Certified,Scott Yribar,Enerform,"Boise, ID",Timber,Single Family,2845,New Construction,,"['July', '14,', '2017']",2017,July,ID,Boise
302,1294,Afton Passive House,Certified,No Active CPHC,"Bluff City Builders, Inc. - Jay Roettger","Afton, MN",Insulated concrete forms,Single Family,4027,New Construction,,"['May', '6,', '2020']",2020,May,MN,Afton
303,1297,East Lawrence Passive House,Certified,Ryan Abendroth,Studio 804,"Lawrence, KS",Timber,Single Family,1941,New Construction,,"['February', '19,', '2016']",2016,February,KS,Lawrence
304,1298,Right-Sized Passive Home,Certified,Tom Bassett-Dilley,Evolutionary Home Builders,"Oak Park, IL",Timber,Single Family,1724,New Construction,,"['September', '13,', '2016']",2016,September,IL,Oak Park
305,1299,Kendra St Residence,Certified,Ben Wolk-Weiss,Habitat for Humanity,"Corvallis, OR",Timber,Single Family,1302,New Construction,,"['May', '4,', '2018']",2018,May,OR,Corvallis
306,1300,Berks Passive House,Certified,Richard Pedranti  Michelle Sangster,Owner,"Bechtelsville, PA",Timber,Single Family,2440,New Construction,,"['March', '20,', '2017']",2017,March,PA,Bechtelsville
307,1301,Staten Island B2,Certified,David White,"Bluestone RRSI, LLC","Staten Island, NY",Autoclaved aerated concrete (AAC),Single Family,820,New Construction,,"['May', '4,', '2018']",2018,May,NY,Staten Island
308,1302,Staten Island B7,Certified,David White,"Bluestone RRSI, LLC","Staten Island, NY",Autoclaved aerated concrete (AAC),Single Family,1105,New Construction,,"['June', '13,', '2018']",2018,June,NY,Staten Island
309,1303,2 Thomas Street,Certified,Chris West,Alex Carver,"Middlebury, VT",Timber,Single Family,1721,New Construction,,"['July', '27,', '2017']",2017,July,VT,Middlebury
310,1304,Bryan / Corish Residence,Certified,Natalie Leonard,S.Larade Custom HomeBuilder,"Halifax, NS",Timber,Single Family,1951,New Construction,,"['March', '20,', '2017']",2017,March,NS,Halifax
311,1305,Alice Street Duplex - Housing NS,Certified,Natalie Leonard,Global Construction,"Truro , NS",Timber,Multifamily,3441,New Construction,,"['July', '7,', '2016']",2016,July,NS,Truro
312,1310,RMI Basalt Innovation Center,Certified,,JE Dunn Construction,"Basalt, CO",Timber,Commercial,15610,New Construction,,"['December', '21,', '2015']",2015,December,CO,Basalt
313,1311,Beach Green Dunes,Certified,Lisa White,The Bluestone Organization,"Far Rockaway, NY",Insulated concrete forms,Multifamily,93894,New Construction,,"['April', '11,', '2018']",2018,April,NY,Far Rockaway
314,1313,Emerson St House,Certified,Jeff Stern,Birdsmouth Construction,"Portland, OR",Timber,Multifamily,2098,New Construction,,"['July', '22,', '2016']",2016,July,OR,Portland
315,1316,Italian Market Passive House,Certified,Laura Blau,Chris Hanson - Hanson Fine Home Builders,"Philadelphia, PA",Timber,Single Family,2293,New Construction,,"['January', '12,', '2018']",2018,January,PA,Philadelphia
316,1317,Pitney Passive House,Certified,Scott Kosmecki,Cellar Ridge Construction,"Mcminnville, OR",Timber,Single Family,1004,New Construction,,"['December', '16,', '2016']",2016,December,OR,Mcminnville
317,1323,Christianson PH,Certified,Win Swafford  Jan Fillinger,G. Christianson Construction,"Corvallis, OR",Timber,Single Family,1935,New Construction,,"['August', '24,', '2017']",2017,August,OR,Corvallis
318,1326,Elm Place Multifamily Project,Certified,Chris West,,"Milton, VT",Timber,Multifamily,27690,New Construction,,"['July', '21,', '2017']",2017,July,VT,Milton
319,1329,Hillcrest Senior Residences,Certified,John Semmelhack,"SOTA Construction Services, Inc.","Pittsburgh, PA",Timber,Multifamily,54435,New Construction,,"['March', '27,', '2018']",2018,March,PA,Pittsburgh
320,1330,Studley Residence,Certified,Chris Trolle,"BPC Green Buiders, Jeff Girvalo","Staatsburg, NY",Mixed timber-masonry,Single Family,3600,New Construction,,"['August', '18,', '2017']",2017,August,NY,Staatsburg
321,1337,High Street Passive House,Certified,Juhee Lee-Hartford,"Roland Heitmann, Heitmann Builders Inc. www.heitmannbuilders.com","Cold Spring, NY",Timber,Single Family,3245,New Construction,,"['February', '16,', '2018']",2018,February,NY,Cold Spring
322,1338,Passive Lodge at Silver Lake,Certified,James Hartford  John Loercher,"Benjamin Bogie, Built To Last LLC","Sharon, CT",Timber,Commercial,2423,Retrofit,,"['January', '19,', '2017']",2017,January,CT,Sharon
323,1339,Joslin Hill House,Certified,Jesse Thompson,Shelterwood Construction,"Waitsfield, VT",Timber,Single Family,2548,New Construction,,"['June', '11,', '2018']",2018,June,VT,Waitsfield
324,1343,Bayside Anchor Apartments,Certified,Jesse Thompson,Wright-Ryan Construction,"Portland, ME",Timber,Multifamily,36161,New Construction,,"['May', '2,', '2019']",2019,May,ME,Portland
325,1347,Acorn Glade,Certified,Tom Bassett-Dilley,Evolutionary Home Builders,"Downers Grove, IL",Timber,Single Family,1785,New Construction,,"['December', '4,', '2019']",2019,December,IL,Downers Grove
326,1348,Orchards at Orenco II,Certified,,Walsh Construction,"Hillsboro, OR",Timber,Multifamily,46148,New Construction,,"['October', '27,', '2016']",2016,October,OR,Hillsboro
